label,precision,recall,f1-score,support
Backend Developer,0.5882352941176471,0.5263157894736842,0.5555555555555556,19.0
Frontend Developer,1.0,0.625,0.7692307692307693,8.0
Full Stack Developer,0.35714285714285715,0.8333333333333334,0.5,6.0
DevOps Engineer,0.7777777777777778,0.875,0.8235294117647058,8.0
Data / AI Role,0.6,1.0,0.75,3.0
QA Engineer,0.6363636363636364,1.0,0.7777777777777778,7.0
Mobile Developer,1.0,0.75,0.8571428571428571,4.0
Project / Program Manager,0.6,1.0,0.75,3.0
Product Manager,0.5,1.0,0.6666666666666666,1.0
Marketing / Sales,0.6363636363636364,0.7,0.6666666666666666,10.0
Business / Operations Role,0.9,1.0,0.9473684210526315,9.0
Design / Creative Role,0.75,0.6666666666666666,0.7058823529411765,9.0
Other,0.0,0.0,0.0,13.0
accuracy,0.66,0.66,0.66,0.66
macro avg,0.6419910155204274,0.767408906882591,0.674601575292216,100.0
weighted avg,0.6130973177149648,0.66,0.6188324317581283,100.0
